PROYECTO_ID;ORIGEN_ID;CLIENTE_ID;EMPRESA_ID;FOLIO;CORTO;NOMBRE;CONTRATO;HORAS;COSTO;COSTO_DESCUENTO;COSTO_TOTAL;INICIO;TERMINO;ESTATUS;BRM;DESCUENTO;ANEXO;ORDEN;ADMON;RESPONSABLE_VTA;CODIGO_PROYECTO;MONEDA_ID;COMENTARIOS;CODIGO_PRY_BANCO;RESPONSABLE_PRY_CLIENTE;RESPONSABLE_PTO;AREA_INTERNA_ID;PORCENTAJE_AVANCE;OPORTUNIDAD_ID;TIPO_SERVICIO_ID;PRIORIDAD;CONSECUTIVO;ANO;CODIGO_CLIENTE;ASIGNACION_ID;PROYECTO_ID;NOMINA_ID;ANO1;ene-01;feb-01;mar-01;abr-01;may-01;jun-01;jul-01;ago-01;sep-01;oct-01;nov-01;dic-01;ANO2;ene-02;feb-02;mar-02;abr-02;may-02;jun-02;jul-02;ago-02;sep-02;oct-02;nov-02;dic-02;ANO3;ene-03;feb-03;mar-03;abr-03;may-03;jun-03;jul-03;ago-03;sep-03;oct-03;nov-03;dic-03;ASIGNA_INICIO;ASIGNA_FIN
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;379;154;55;2014;;160;160;160;168;168;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;380;154;47;2014;;160;160;160;168;168;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;381;154;40;2014;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;383;154;46;2014;;160;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;384;154;41;2014;;160;160;160;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;385;154;23;2014;;;160;160;168;168;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;386;154;80;2014;;160;160;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;387;154;74;2014;;160;160;160;168;168;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;388;154;82;2014;;160;160;160;168;168;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;389;154;70;2014;;160;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
